ref,𝔊,*,𝔐,kind,lvl,subspecies,effect,effect lvl,cause,parallel,notes
25:5.3.2,τοῦ ἀγροῦ σου,השדך,קְצִֽירְךָ֙,exchange,word,lexeme,resolution,phrase,contradiction,Lev 25:4,"G reads שדה rather than קציר. There seems to be an effort to avoid any conflict between קציר “harvest” and לא תקצור “do not harvest.” שדה is a convenient term to substitute, since the harvest is a product of the field and since it is available nearby in vs. 4. The substitution resolves any perceived conflict with the following injunction. 

The change affects an additional awkwardness between ἀναβαίνοντα and this slot. In other words, it makes little sense to say that the plants “go up [in] the harvest.” Rather, plants “go up” (grow) in a field.

One note on whether G represents a variant Vorlage, as addressed two cells above: the resulting phrase את הספיחים העלם השדך comes across as awkward in Hebrew. This kind of long chained construction, with a participle, happens rarely in the Hebrew Bible (14; see https://shebanq.ancient-data.org/hebrew/query?version=2017&id=2599), and the third element is typically a demonstrative pronoun.  "
25:5.4.1,τὴν σταφυλὴν τοῦ ἁγιάσματός σου,את־הענבי קדשך,אֶת־עִנְּבֵ֥י נְזִירֶ֖ךָ,exchange,word,morphology,number,phrase,translation,,G reads the noun as singular. This is due to usual LXX translation of the plural Hebrew ענבים “grapes.”
25:5.4.2,τὴν σταφυλὴν τοῦ ἁγιάσματός σου,את־הענבי קדשך,אֶת־עִנְּבֵ֥י נְזִירֶ֖ךָ,expansion,word,specification,determination,phrase,translation,,G reads the definite article. The use of the article is probably a translational expansion. But see את־הענבים in Gen 40:11.  
25:5.5.1,τοῦ ἁγιάσματός σου,הקדשך,נְזִירֶ֖ךָ,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:5.5.2,τοῦ ἁγιάσματός σου,הקדשך,נְזִירֶ֖ךָ,exchange,word,lexeme,metonymy,word,cohesion,,"G reads קדש “holiness” rather than the MT’s נזיר “untrimmed?” נזיר is translated diversely in the LXX. It can be transliterated as in Judg 13:7, 17:17, Lam 4:7; translated into various verbs for “vowing” as in Num 6:2, 6:13; and euphemistically as “glory” δοξασθεὶς in Deut 33:16. Wevers’ translates the phrase as “the grape clusters which you dedicated,” interpreting the second person genitive pronoun as a subjective genitive (Wevers, Notes, 403). But Wever’s translation overlooks the fact the ἁγίασμα usually refers to a sacred place, often as a gloss for מקדש (Muraoka, LXX, 5). Rather, G appears to be borrowing its change used in the first part of this verse, קציר to שדה, i.e. a place. By interpreting נזיר as a holy “place,” G seems to be interpreting it as a vineyard that has been consecrated. "
25:6.1,τὰ σάββατα,השבתת,שַׁבַּ֨ת,expansion,word,specification,determination,word,translation,,G reads the definite article.
25:6.2.1,βρώματά,לאכלות,לָכֶם֙ לְאָכְלָ֔ה,omission,word,reduction,adjunct,clause,cohesion,,"G does not read the additional ל + suffix marker, probably because it is plural, which creates discord with the following לך complementizer. "
25:6.2.2,βρώματά,לאכלות,לְאָכְלָ֔ה,exchange,word,morphology,number,word,translation,,"G reads אכלה as plural. This is probably translational, but see the plural use of βρῶμα in Lev 11:34."
25:6.3,τῷ μισθωτῷ,לַשכירך,לִשְׂכִֽירְךָ֙,expansion,word,specification,determination,phrase,consonants,,G reads the definite article.
25:6.4.1,καὶ τῷ παροίκῳ τῷ προσκειμένῳ πρὸς σέ,ולַתושב הגרים עמך,וּלְתוֹשָׁ֣בְךָ֔ הַגָּרִ֖ים עִמָּֽךְ,expansion,word,specification,determination,phrase,consonants,,G reads the definite article.
25:6.4.2,καὶ τῷ παροίκῳ τῷ προσκειμένῳ πρὸς σέ,ולתושב הגרים עמך,וּלְתוֹשָׁ֣בְךָ֔ הַגָּרִ֖ים עִמָּֽךְ,omission,word,suffix,pronominal,phrase,redundancy,,"G omits the 2ms pronominal suffix on תושב, probably since it occurs at the end of the clause. The change omits a perceived redundancy."
25:7.1.1,τοῖς κτήνεσίν σου,לַבהמתיך,לִ֨בְהֶמְתְּךָ֔,expansion,word,specification,determination,phrase,consonants,,G reads the definite article.
25:7.1.2,τοῖς κτήνεσίν σου,לבהמתיך,לִ֨בְהֶמְתְּךָ֔,exchange,word,morphology,number,word,translation,,G reads the plural of בהמה. It frequently translates “animal” in the plural in Leviticus.
25:7.2,τοῖς θηρίοις,לחים,לַֽחַיָּ֖ה,exchange,word,morphology,number,phrase,translation,,G reads the plural.
25:7.3,ἐν τῇ γῇ σου,בָארצך,בְּאַרְצֶ֑ךָ,expansion,word,specification,determination,phrase,consonants,,G reads the definite article.
25:7.4.1,πᾶν τὸ γένημα αὐτοῦ,כל־התבואתו,כָל־תְּבוּאָתָ֖הּ,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:7.4.2,πᾶν τὸ γένημα αὐτοῦ,כל־התבואתו,כָל־תְּבוּאָתָ֖הּ,exchange,word,morphology,actant,word,translation,,"G reads the masculine suffix on תבואתה “produce.” αὐτοῦ might likewise refer to a neuter singular referent. There are a number of possibilities. G may read the antecedent as τοῦ ἀγροῦ “field” (vs. 5a) or ἐνιαυτὸς “year” (vs. 5b). It it difficult to discern exactly what is happening here. Note that G also reads a masculine suffix on the same noun in vs. 16, there seemingly in connection with the pronoun הוא. G could conceivably read the ה suffix as an archaic 3ms."
25:8.1,καὶ ἔσονταί σοι,והיו לך,וְהָי֣וּ לְךָ֗ יְמֵי,omission,word,subject,hyponym,clause,hypernymy,,"G does not read ימי “days,” the subject in the MT. The use of יום here in the plural refers to a general period of time, as it is used in vs. 29b (where G also varies). The change in G results in the 3pl. subject becoming ἐτῶν “years” (though it could be ἔτη ἑπτάκις). While “days” is a general term (hypernym) meaning period of time, “years” is a specific term (hyponym). G collapses the general into the specific."
25:8.2,ἔτη,שנים,שָׁנָֽה,exchange,word,morphology,number,word,translation,,G reads the plural שנים. It is probably translational.
25:9.1.1,διαγγελεῖτε,הגידו,הַֽעֲבַרְתָּ֞,exchange,word,lexeme,literalism,word,metonymy,,"G reads an interpretation of the metonymy והעברת. In this case “to cause a loud trumpet to pass over” directly cites the cause of the sound, but it is a figure for the sound itself. G literalizes the figure."
25:9.1.2,διαγγελεῖτε,הגידו,הַֽעֲבַרְתָּ֞,exchange,word,morphology,number,word,cohesion,Lev 25:9b,"G reads the plural והעברתו (or והגידו). The 2pl. is under the influence of the verse’s part b, a part that also influences the variance in 25:9.3."
25:9.2,σάλπιγγος φωνῇ,בשופר תרועה,שׁוֹפַ֤ר תְּרוּעָה֙,expansion,phrase,function,adjunct,clause,syntax,,G reads תרועה as a complement to the action.The noun is generally read as an adjunctive element to שופר. 
25:9.3,ἐν πάσῃ τῇ γῇ ὑμῶν,בכל ארצכם,ø,expansion,phrase,specification,adjunct,clause,innertextuality,Lev 25:9b,"G reads an additional complement element modifying the verb, describing “where” the sound should be carried. The phrase is borrowed from part b of the verse. This is the second complementizer element in a row."
25:9.4,ῇ δεκάτῃ,בָעשור,בֶּעָשׂ֖וֹר,expansion,word,morphology,determination,word,consonants,,G reads the definite article.
25:9.5,διαγγελεῖτε,הגידו,הַֽעֲבַרְתָּ֞,exchange,word,lexeme,literalism,word,metonymy,,See the same in 25:9.1.1.
25:9.6,σάλπιγγι,בשופר,שׁוֹפָ֖ר,expansion,phrase,function,adjunct,clause,metonymy,,"G reads שופר as a complement “with a horn” as in 25:9.2, though there with תרועה. While “horn” remains the direct object in 25:9.2, here its function is transformed. This is a literalization of the metonymy of cause (the horn, changing it to “with a horn”). "
25:9.7,ἐν πάσῃ τῇ γῇ ὑμῶν,בכל הארצכם,בְּכָל־אַרְצְכֶֽם,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:10.1,τὸ ἔτος,את השנת,אֵ֣ת שְׁנַ֤ת,expansion,word,specification,determination,word,translation,,G reads the definite article.
25:10.2,ἐνιαυτὸς ἀφέσεως σημασία αὕτη ἔσται ὑμῖν,שנה תרועת יובל הוא תהיה לכם,יוֹבֵ֥ל הִוא֙ תִּהְיֶ֣ה לָכֶ֔ם,expansion,phrase,specification,resolution,clause,syntax,Lev 25:9,"G reads two additional substantives: שנה “year” (ἐνιαυτὸς) and תרועה “sound” (σημασία). That σημασία indeed translates (or represents) תרועה and not “sign” as NET translates it is clear from its use in Num 10:5-7, 29:1, 31:6; Ezra 3:12-13; 1 Chron 15:28; and 2 Chron 13:12. 

A motivation for the difference in G can be found in the 3fs demonstrative pronoun, which does not match the 3ms יובל “jubilee.” Introducing תרועה from vs. 9 both solves the grammatical incongruity and creates a stronger connection with the preceding material. The resulting sentence now reads: “The year will be a sound of jubilee for you.” Whereas MT simply states “a jubilee that will be for you,” G specifies 1) that the jubilee is a year (via vs. 9 and 10a), and 2) that it is marked with a “shout,” i.e. the sound of a trumpet.

That G fronts αφεσεως before σημασία allows the latter to abut the feminine demonstrative pronoun, ensuring the connection between the two."
25:10.3.1,καὶ ἀπελεύσεται,וישב,וְשַׁבְתֶּ֗ם,exchange,word,morphology,person,word,syntax,,"G reads the verb שוב as agreeing with איש, i.e. 3sg. It solves the incongruity between the 3ms and the 2mp of שבתם. The same incongruity is not solved in the latter part of the verse. Perhaps the extra reading of אחד (see below) has strengthened the perceived problem."
25:10.3.2,καὶ ἀπελεύσεται,וישב,וְשַׁבְתֶּ֗ם,exchange,word,morpholoy,number,word,syntax,,See above.
25:10.4,ἕκαστος εἰς,איש אחד,אִישׁ,expansion,word,specification,adjunct,phrase,translation,,"N.B. that this reading is omitted in Göttingen due to its absence in 1º. Codex B et al. read a phrase that makes the semantic interpretation of איש as “each” more explicit. The reconstructed phrase, איש אחד is used by G in e.g. Gen 42:11."
25:11.1,ἀφέσεως σημασία αὕτη,תרועת יובל הוא,יוֹבֵ֣ל הִ֗וא שְׁנַ֛ת,expansion,phrase,specification,resolution,clause,syntax,Lev 25:9,"G again reads a text which solves the apparent incongruity between יובל as 3ms and the 3fs demonstrative הִוא. Again, the presence of σημασία indicates a potential תרועה, and thus a connection with vs. 9."
25:11.2,τὸ ἔτος,השנה,שְׁנַ֛ת,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:11.3.1,τὰ αὐτόματα τὰ ἀναβαίνοντα,את הספיחים העלים,אֵ֣ת סְפִ֤יחַ,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:11.3.2,τὰ αὐτόματα τὰ ἀναβαίνοντα,את הספיחים העלים,אֵ֣ת סְפִ֤יחַ,expansion,phrase,lexeme,apposition,phrase,translation,,See the same in 25:5.
25:11.4.1,τὰ ἡγιασμένα αὐτῆς,את־הקדשיהּ,אֶת־נְזִרֶֽיהָ,expansion,word,specification,determination,phrase,translation,,G reads the definite article.
25:11.4.2,τὰ ἡγιασμένα αὐτῆς,את־הקדשיהּ,אֶת־נְזִרֶֽיהָ,exchange,word,lexeme,metonymy,word,intertextuality,"Num 6:5, 10; Lev 25:12",See the potential cause of this form in the explanation provided for 25:5.
25:12.1.1, ἀφέσεως σημασία ἐστίν,תרועת יובל הוִא,יוֹבֵ֣ל,expansion,phrase,specification,resolution,phrase,syntax,Lev 25:9,"G reads an additional complement element modifying יובל, that is, תרועה or “shout” as from vs. 9. It applies the formula as utilized in vs. 10. Like in vs. 10, MT has a 3fs demonstrative pronoun הוִא which disagrees with the presumed subject יובל (3ms). But G seems to read the pronoun as 3ms הוּא. G reads the same correction mechanism here, with the addition of תרועה. However, as seen below, the pronoun is absent, perhaps due to the interaction of it with the 3fs verb תהיה. "
25:12.1.2,ἀφέσεως σημασία ἐστίν,תרועת יובל הוִא,יוֹבֵ֣ל,exchange,word,type,predication,clause,translation,,G reads the demonstrative pronoun as a copula.
25:12.2,τὰ γενήματα αὐτῆς,את־התבאתיה,אֶת־תְּבוּאָתָֽהּ,exchange,word,morphology,number,word,translation,,G reads the plural.
25:13.1.1,Ἐν τῷ ἔτει τῆς ἀφέσεως σημασίᾳ αὐτῆς,בַשנת תרועת יובל הזאת,בִּשְׁנַ֥ת הַיּוֹבֵ֖ל הַזֹּ֑את,expansion,phrase,specification,resolution,phrase,syntax,Lev 25:9,"G again reads יובל with תרועה. In this case, the feminine demonstrative זאת causes the incongruity. "
25:14.1,ἀποδῷ,תמכר,תִמְכְּר֤וּ,exchange,word,morphology,number,clause,cohesion,,"G reads the 2ms verb תמכר which agrees with the 2ms suffix on לעמיתך. The change brings additional cohesion to the clause.

Note that G’s text could have rather assimilated the suffices and persons to the plural. By making a single change in this clause, however, it is able to achieve both cohesion and preservation of the source. "
25:14.2,μὴ θλιβέτω,אל־ינה,אַל־תּוֹנ֖וּ,exchange,word,morphology,person,clause,cohesion,,"G reads the 3ms rather than 2mp, making the verb agree with the implied subject איש. "
25:14.3,τὸν πλησίον,את־האח,אֶת־אָחִֽיו,omission,word,suffix,actant,phrase,redundancy,,G does not read the 3ms suffix on אח. Is this a way of compensating for the switch to the third person in the change above?
25:15.1,τὴν σημασίαν,התרועה,הַיּוֹבֵ֔ל,exchange,word,lexeme,actant,text,cohesion,,"G seems to read תרועה instead of יובל. That G’s text would take the former is likely due to the construct form it has been employing of תרועת יובל to solve the gender issues. Since תרועה is at the head of the phrase, it becomes the term utilized here in vs. 15. It is difficult to tell whether this change reflects a variant Vorlage or a translator’s interpretation."
25:16.1,ὅτι ἀριθμὸν γενημάτων *αὐτοῦ οὕτως ἀποδώσεταί σοι.,כי מספר תבואת הוא מכר לך,כִּי מִסְפַּ֣ר תְּבוּאֹ֔ת ה֥וּא מֹכֵ֖ר לָֽךְ,exchange,text,function,actant,text,cohesion,,"G reads the independent pronoun הוא as in construct with תבואת “produce,” thus “produce of he” or “his produce.” This reading accomplishes two goals: 1) it avoids altering the consonantal layout of the source, 2) the reading brings this part of vs. 16 into cohesion with the previous clauses in vs. 16, which each speak of מקנתו “his purchase.” With this reading, the text can maintain the flow of logic: “his produce,” meaning the produce from his, that is the neighbor’s, field.

While the pronoun הוא is never found in a construct relation in the Hebrew Bible, Sam, or Qumran (based on Accordance search), the more general noun + personal pronoun is found twice in the HB (https://shebanq.ancient-data.org/hebrew/query?version=2017&id=2600), once with היא. G’s text thus represents a feasible reading.

N.B. that Göttingen (Wevers) does not accept the reading of B and A here (which includes αὐτοῦ). And Wevers considers this an “error” since it “makes no sense” (Wevers, Notes, 411). This analysis takes issue with Wever’s assessment."
25:17.1,μὴ θλιβέτω ἄνθρωπος,ולא ינה איש,וְלֹ֤א תוֹנוּ֙ אִ֣ישׁ ,exchange,word,morpholoy,person,clause,cohesion,,G reads the 3ms verb to accord with איש.
25:17.2,τὸν πλησίον,את עמית,אֶת־עֲמִית֔וֹ,omission,word,morphology,pronominal,word,translation,,G does not read the 3ms pronominal suffix as with verse 14. Is it only translational?
25:17.3,κύριον τὸν θεόν σου,מיהוה אלהיך,מֵֽאֱלֹהֶ֑יךָ,expansion,word,specification,apposition,phrase,vorlage,,"G reads “the Lord your God,” a common formulation and expansion."
25:17.4,ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν,אני יהוה אלהיכם,כִּ֛י אֲנִ֥י יְהוָֹ֖ה אֱלֹהֵיכֶֽם,omission,word,conjuntion,subordination,text,intertextuality,Lev 19:31,"G does not read the particle כי due to the influence of the parallel formula in Lev 19:32, which does not contain the conjunction כי. There are additional links between these two passages, as explained below for vs. 18."
25:18.1.1,καὶ ποιήσετε πάντα τὰ δικαιώματά μου καὶ πάσας τὰς κρίσεις μου καὶ φυλάξασθε καὶ ποιήσετε αὐτὰ,ועשיתם את כל חקתי ואת כל משפטי ותשמרו ועשיתם אתם,וַעֲשִׂיתֶם֙ אֶת־חֻקֹּתַ֔י וְאֶת־מִשְׁפָּטַ֥י תִּשְׁמְר֖וּ וַעֲשִׂיתֶ֣ם אֹתָ֑ם,expansion,word,specification,adjunct,clause,intertextuality,Lev 19:37; Lev 20:22,"G reads the addition of a כל modifier on both חקתי and משפטי. Thus: “all my statutes” and “all my judgments.” G’s reading derives from Lev 19:37 and 20:22, where the same formula occurs but with the verb שמר. That G’s text is sourced from those verses is made clear by the the fact that both texts have חקתי and משפטי as the object of the same verb within the same clause. G’s text does the same, while in the MT both substantives belong to different object phrases and verbs. With the addition of καί before the second verb, φυλάξασθε, G restructures the clause to accede with Lev 19:37 and 20:22.

Of the two parallel texts, Lev 19:37 shares additional lexemes: the instructions about the fair treatment of neighbors, using the same term, עמית, as Lev 25:14, 15, 17 in 19:11, 15, 17; the instructions not to oppress the sojourner, using the same verb ינה in 19:33 as in 25:14, 17; the exhortation to fear YHWH, ויראת מאלהיך אני יהוה in 19:32 and 25:17 (which also influenced the omission of כי in vs.17. "
25:18.1.2,καὶ ποιήσετε πάντα τὰ δικαιώματά μου καὶ πάσας τὰς κρίσεις μου καὶ φυλάξασθε καὶ ποιήσετε αὐτὰ,ועשיתם את כל חקתי ואת כל משפטי ותשמרו ועשיתם אתם,וַעֲשִׂיתֶם֙ אֶת־חֻקֹּתַ֔י וְאֶת־מִשְׁפָּטַ֥י תִּשְׁמְר֖וּ וַעֲשִׂיתֶ֣ם אֹתָ֑ם,expansion,word,specification,coordination,text,intertextuality,Lev 19:37,"G reads a conjunction between משפטי and תשמרו, which is under the influence of Lev 19:37 as discussed above. The word-level change results in a text-level restructuring of the clauses and clause relationships."
25:19.1,τὰ ἐκφόρια,פרֶיה,פִּרְיָ֔הּ,exchange,word,morphology,number,word,translation,,G reads the plural noun.
25:20.1,ἐν τῷ ἔτει τῷ ἑβδόμῳ τούτῳ,בשנה השביעת הזאת,בַּשָּׁנָ֣ה הַשְּׁבִיעִ֑ת,expansion,word,specification,demonstrative,phrase,intertextuality,"Ex 14:11; Ex 16:3; Ex 17:3; Ex 32:1, 4, 8, 23","G reads a demonstrative pronoun τούτῳ. There are three general possibilities: 1. G could have inserted the demonstrative simply as a translational element; 2. G could have inserted the demonstrative under the influence of Lev 25:13 where the phrase בשנת היובל הזאת “in this year of jubilee” appears; 3. G might have borrowed the demonstrative from its frequent appearance in the Israelites’ complaints in the Exodus narrative. 

1 is possible, but it is a phenomenon that has not yet been observed in this text (as opposed to, for instance, the frequent addition of definite articles). 2 is likewise possible, but the demonstrative is conspicuously absent from G’s reading of Lev 25:13 (see the note on that variant). Would G have omitted the demonstrative in one place only to be influenced by it further down? It is, of course, possible. 3 is attractive because A) It is significant that G places the demonstrative in the mouth of the Israelites, i.e. it is a strategic location in the text; and B) the near-demonstrative is found in all but one of the Israelites’ complaints in the narratives, sometimes in a prominent position. For instance, in Ex 32, זה משה “this Moses” is fronted at the beginning of the clause and is repeated when Aaron relates the people’s words. In the same story, the people declare: אלה אלהיך “this is your gods” (see also Ex 16:3 “this wilderness” //Num 14:2, and Num 20:5 “this wicked place”). The additional intertextual elements, such as the presence of מה in Ex 15:24 and the similar parallel grammar מה נשתה with Lev 25:20 מה נאכל. The other complaints likewise feature the question particle מה or מי in Ex 14:1, 16:3, 17:3 (but למה). In light of these similarities, the Israelite’s words here in vs. 20, “What will we eat in this seventh year?” very much resemble their complaints elsewhere, a feature that is already present in the MT. G’s addition of the demonstrative only strengthens that connection."
25:21.1.1,τὰ γενήματα αὐτῆς,את התבאתיהּ,אֶת־הַתְּבוּאָ֔ה,exchange,word,morphology,number,word,innertextuality,"Lev 25:15, 16",G reads the plural תבאות “produces.” The reading is seemingly motivated by the fact that the produce is equivalent of “three years.” The plural form is borrowed from vss. 15 and 16.
25:21.1.2,τὰ γενήματα αὐτῆς,את התבאתיהּ,אֶת־הַתְּבוּאָ֔ה,exchange,word,morphology,actant,word,cohesion,,"G reads the 3fs suffix as it has appeared elsewhere in this passage. Here the suffix finds an innerclausal warrant in the form of the 3fs verb עשת, a referent to either שנת “year” or ברכת “blessing.”"
25:22.1,τῶν γενημάτων,התבואת,הַתְּבוּאָ֣ה,exchange,word,morphology,number,phrase,innertextuality,"Lev 25:15, 16",See the same in verse 21.
25:22.2,παλαιὰ παλαιῶν,ישן נושן,יָשָֽׁן,expansion,word,specification,adjunct,phrase,intertextuality,Lev 26:10,"G reads ישן נושן “old that is old” which is derived from Lev 26:10. There are numerous links between this passage and Lev 26, including nearly identical language of blessing promised upon the land: that the land would “give” its yield 26:4//25:19, that the Israelites would eat “to satisfaction” לשבע (26:5/25:19, that they would live in “safety” לבטח in their land (26:5//25:19), as well as other parallels outlined by Bergsma (Jubilee, 82-83). By using the term from Lev 26:10, G is showing an awareness of the subsequent material. It is also creating a link between the prosperity described in that passage and this one. They are viewed as the same.

Wevers’ flat description of this as “leveling” (Notes, 414) falls short of the reflective interpretation found in this variant. "
25:23.1,ἐναντίον μου,לפני,עִמָּדִֽי,exchange,word,lexeme,narrowing,phrase,translation,,G reads “before me.” Perhaps it is reflective nonetheless of עמד. 
25:24.1.1,καὶ κατὰ πᾶσαν γῆν κατασχέσεως ὑμῶν,וככל ארץ אחזתכם,וּבְכֹ֖ל אֶ֣רֶץ אֲחֻזַּתְכֶ֑ם,exchange,word,lexeme,narrowing,clause,cohesion,,"G reads the preposition as כ “according to.” It could be the result of a common confusion between the similar letters כ//ב. But it should not be overlooked that the reading with kaph fundamentally alters the interpretation from “in all the land of your possession, a redemption shall be given for the land” to “according to all the land of your possession, a redemption shall be given for the land.” The first is a simple spatial marker; looks, somewhat reflectively, at the measure of the land in possession. "
